distortion,index,distorted_path,reference_path,dmos,dmos_realigned,dmos_realigned_std
jpeg_2000,1,jp2k/img1.bmp,refimgs/buildings.bmp,0.0,0.0,0.0
jpeg_2000,2,jp2k/img2.bmp,refimgs/studentsculpture.bmp,28.00384535689855,15.512954417537028,1.6294556597749836
jpeg_2000,3,jp2k/img3.bmp,refimgs/rapids.bmp,34.01073628022137,24.09025497677203,1.7384717298751982
jpeg_2000,4,jp2k/img4.bmp,refimgs/dancers.bmp,65.13140970686972,68.99086164929872,2.6202145100126977
jpeg_2000,5,jp2k/img5.bmp,refimgs/churchandcapitol.bmp,68.9113403034779,74.39794796497739,2.1280246055850447
jpeg_2000,6,jp2k/img6.bmp,refimgs/dancers.bmp,65.15010253306134,69.2292141708657,2.4234375332095834
jpeg_2000,7,jp2k/img7.bmp,refimgs/churchandcapitol.bmp,54.39726604294797,53.57873192014601,2.2871613424573773
jpeg_2000,8,jp2k/img8.bmp,refimgs/stream.bmp,44.39714490163311,39.37667556675135,2.9727376233002434
jpeg_2000,9,jp2k/img9.bmp,refimgs/cemetry.bmp,0.0,0.0,0.0
jpeg_2000,10,jp2k/img10.bmp,refimgs/woman.bmp,47.430013761380415,43.42259860497224,1.8976515719886171
jpeg_2000,11,jp2k/img11.bmp,refimgs/lighthouse2.bmp,0.0,0.0,0.0
jpeg_2000,12,jp2k/img12.bmp,refimgs/sailing3.bmp,41.412498424737386,34.802951811201964,2.8491496202582303
jpeg_2000,13,jp2k/img13.bmp,refimgs/buildings.bmp,49.581143139311585,46.684096124058215,1.9798755741482426
jpeg_2000,14,jp2k/img14.bmp,refimgs/paintedhouse.bmp,48.84324745450706,45.67949064903939,2.89653390984239
jpeg_2000,15,jp2k/img15.bmp,refimgs/bikes.bmp,26.13791357747473,12.692083542828541,2.0934379590624377
jpeg_2000,16,jp2k/img16.bmp,refimgs/ocean.bmp,0.0,0.0,0.0
jpeg_2000,17,jp2k/img17.bmp,refimgs/stream.bmp,62.47870390031039,65.23107378633902,2.3035207833041254
jpeg_2000,18,jp2k/img18.bmp,refimgs/carnivaldolls.bmp,37.598876406688994,29.39224918059548,2.1281480218326507
jpeg_2000,19,jp2k/img19.bmp,refimgs/sailing1.bmp,19.966622257732258,3.8890621428635583,1.7382838028873744
jpeg_2000,20,jp2k/img20.bmp,refimgs/house.bmp,0.0,0.0,0.0
jpeg_2000,21,jp2k/img21.bmp,refimgs/coinsinfountain.bmp,32.69469883824849,22.461157863083844,2.415602535276761
jpeg_2000,22,jp2k/img22.bmp,refimgs/monarch.bmp,0.0,0.0,0.0
jpeg_2000,23,jp2k/img23.bmp,refimgs/woman.bmp,41.92234749404617,35.59966912005858,2.204276955827919
jpeg_2000,24,jp2k/img24.bmp,refimgs/building2.bmp,0.0,0.0,0.0
jpeg_2000,25,jp2k/img25.bmp,refimgs/caps.bmp,0.0,0.0,0.0
jpeg_2000,26,jp2k/img26.bmp,refimgs/manfishing.bmp,25.341009535173676,11.714566786308875,1.5336433982143336
jpeg_2000,27,jp2k/img27.bmp,refimgs/house.bmp,50.83957042048765,48.4017211733363,2.3058602871669107
jpeg_2000,28,jp2k/img28.bmp,refimgs/coinsinfountain.bmp,66.46194643940952,70.94908661426099,1.9975010620796416
jpeg_2000,29,jp2k/img29.bmp,refimgs/buildings.bmp,61.41371716607372,63.644935917203554,1.6382322934715163
jpeg_2000,30,jp2k/img30.bmp,refimgs/building2.bmp,69.29851565600342,75.20085071703139,1.581241601321203
jpeg_2000,31,jp2k/img31.bmp,refimgs/ocean.bmp,33.27987227548807,23.258787473568603,1.748306014038223
